Date,Open,High,Low,Close
1980-04-27,249.79,250,243.24,246.01
1980-05-04,241.3,241.3,239.3,240.36
1980-05-11,237.21,237.21,231.79,231.79
1980-05-18,226.8,229.59,226.8,229.59
1980-05-25,229,229,221.25,221.25
1980-06-01,219.19,223.81,219.19,222.99
1980-06-08,223.55,223.55,219.3,219.3
1980-06-15,216.34,217.76,215.8,216.01
1980-06-22,215.98,217.2,215.74,217.2
1980-06-29,216.07,217.95,216.07,217.55
1980-07-06,219.89,219.89,218.81,219
1980-07-13,217.91,219.11,216.85,217.7
1980-07-20,218.25,220.26,218.25,220.26
1980-07-27,220.38,225.39,220.38,225.39
1980-08-03,227.4,227.4,226.81,226.99
1980-08-10,226.05,226.3,225.29,226.3
1980-08-17,225.78,225.78,222.91,225.77
1980-08-24,226.29,226.29,223.8,223.8
1980-08-31,223.21,223.21,218.01,219.09
1980-09-07,215.93,218,215.93,218
1980-09-14,216.7,216.81,213.21,213.21
1980-09-21,212.64,212.98,210.8,210.8
1980-09-28,214.79,218.14,211.7,211.7
1980-10-05,212.4,212.4,207.59,207.59
1980-10-12,207.9,208.99,207.9,208.99
1980-10-19,206.5,208.19,206.5,208.19
1980-10-26,208.66,212.76,207.94,212.76
1980-11-02,213.75,213.75,210.01,211.06
1980-11-09,210.8,213.09,210.8,213.09
1980-11-16,209.49,213.1,209.49,212.91
1980-11-23,213.61,213.81,212.64,213.81
1980-11-30,213.35,216.6,213.35,216.6
1980-12-07,217.85,217.85,211.01,211.6
1980-12-14,208.51,210.5,208.51,210.5
1980-12-21,209.38,209.49,208.2,208.2
1980-12-28,207.64,208.4,207.64,208.4
1981-01-04,206.64,206.64,202.49,202.49
1981-01-11,199.06,203.01,199.06,203.01
1981-01-18,204.09,204.09,201.75,202.9
1981-01-25,202.3,202.75,199.19,202.75
1981-02-01,203.56,206.7,202.5,206.7
1981-02-08,203.14,204.03,202.9,203.79
1981-02-15,203.89,207.45,203.89,207.45
1981-02-22,206.8,206.8,206.55,206.8
1981-03-01,208.05,209.71,207,209.71
1981-03-08,211.11,211.11,208.59,209
1981-03-15,206.01,207.61,206.01,207.55
1981-03-22,207.27,208.74,207.27,208.25
1981-03-29,208.61,211.8,208.55,211.8
1981-04-05,211.41,213.8,211.26,213.21
1981-04-12,213.98,215.17,213.09,215.17
1981-04-19,216.26,217.5,215.23,217.5
1981-04-26,218.2,218.34,214.3,214.3
1981-05-03,212.1,215.78,212.1,215.76
1981-05-10,217.1,217.91,216.91,217.6
1981-05-17,217.96,223.04,217.96,223.04
1981-05-24,221.98,222.51,220.8,222.5
1981-05-31,224.35,224.96,223.89,223.89
1981-06-07,222.49,227.79,222.49,227.79
1981-06-14,227.9,228.12,224.14,224.14
1981-06-21,219.7,223.35,219.7,223.35
1981-06-28,222.52,225.44,221.79,224.83
1981-07-05,225.84,228.49,225.84,228.49
1981-07-12,229.83,229.83,228.3,228.3
1981-07-19,228.3,231.96,228.3,231.96
1981-07-26,233.01,234.9,233.01,234.52
1981-08-02,236.1,240.41,236.1,240.41
1981-08-09,245.39,246.11,234.9,234.9
1981-08-16,236.11,236.11,230.2,233.73
1981-08-23,229.78,230.34,227.26,227.26
1981-08-30,228.41,230.96,228.41,229.09
1981-09-06,230.51,230.95,229.69,229.69
1981-09-13,232.49,233.8,230.88,231.33
1981-09-20,230.21,230.21,225.7,226.29
1981-09-27,224.18,229.71,224.18,229.71
1981-10-04,232.45,233.1,231.9,232.05
1981-10-11,227.59,230.39,226.55,226.55
1981-10-18,228.59,230.61,228.59,230.59
1981-10-25,232.35,233.69,232.31,232.31
1981-11-01,236.16,236.16,232.79,232.79
1981-11-08,229.14,229.14,227.29,229.05
1981-11-15,226.77,229.85,226.77,227.36
1981-11-22,225.71,225.71,218.64,218.64
1981-11-29,217.59,217.59,215.64,215.64
1981-12-06,214.2,216.66,214.2,216.5
1981-12-13,217.54,219.29,217.54,219.29
1981-12-20,220.75,220.75,217.51,218.99
1981-12-27,220.04,222.1,219.34,222.1
1982-01-03,222.81,222.81,219.79,219.79
1982-01-10,218.76,222.01,218.76,221.39
1982-01-17,223.31,224.5,223.05,224.5
1982-01-24,225.35,227.39,224.48,227.39
1982-01-31,229.41,231.01,228.25,228.3
1982-02-07,232.61,234.81,232.61,233.51
1982-02-14,234.76,236.51,234.76,235.75
1982-02-21,240.65,240.65,233.61,233.61
1982-02-28,232.1,237.24,232.1,237.24
1982-03-07,238.29,238.29,233.89,233.89
1982-03-14,234.3,240.1,234.3,240.1
1982-03-21,240.5,244,240.5,244
1982-03-28,245.3,247.1,243.59,247.1
